configuration,mode,rank,runs,trainable_parameters,trainable_fraction,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,train_seconds_mean,train_seconds_std,wall_seconds_mean,wall_seconds_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std,best_checkpoint_mb_mean,best_checkpoint_mb_std,final_generalization_gap_mean,best_epoch_median
Frozen,frozen,,5,3845,3.0897517931268056e-05,0.46448683015440506,0.01390268956100048,0.40245127454931273,0.037974251616864525,0.47375565610859727,0.01701201013312892,0.4030465483524442,0.04644873591286119,119.39930020370521,3.200065362988501,166.75186968375928,52.96076671502213,574.30908203125,0.0,0.033104896545410156,0.0003979005374269195,0.027975397748726916,4
LoRA r=2,lora,2,5,77573,0.000622989331907005,0.5059037238873751,0.010804157360009383,0.47319240625433034,0.02283955979280708,0.5143891402714932,0.007270861052580849,0.4761797276386576,0.020720360281837224,375.1085036583245,27.29699659155155,428.4756754956208,28.57647583876556,1188.276171875,0.9423609028379254,0.3288612365722656,0.00048828125,0.07719756809437797,4
LoRA r=4,lora,4,5,151301,0.001214380393708511,0.5033605812897366,0.00692905762861421,0.4716303402856092,0.021005732611532126,0.5196380090497738,0.01089549164053191,0.4858863874459487,0.01183187759331046,365.45084742610345,22.34633272939123,445.1104517837986,74.09633735528568,1189.31328125,0.9423609028379254,0.6097084045410156,0.0003946101043760892,0.10803674392023596,3
LoRA r=8,lora,8,5,298757,0.002395065231029393,0.5004541326067211,0.006796834490052573,0.47661050426455975,0.019920494682087543,0.5146606334841629,0.007925659383099144,0.4898773483722048,0.012666228270513582,356.90529653276315,21.24701067233414,405.32736749942416,29.653095491628346,1191.37578125,0.9423609028379254,1.1721961975097657,0.00019965121135005038,0.13955928726693811,3
LoRA r=16,lora,16,5,593669,0.00474808038810278,0.5013623978201635,0.009417094165907233,0.47717313637254943,0.01795469886705597,0.5215384615384615,0.007384027569542607,0.49490008871355207,0.015650616163629606,364.74253149027936,19.362136197804443,417.8657183867414,41.55214002036554,1195.5125,0.9423609028379254,2.2970985412597655,0.0003246932636296481,0.17719150874077702,3
Full,full,,5,124443653,1.0,0.4980926430517711,0.009625040357303502,0.4545666859289617,0.037644367962788305,0.5094117647058823,0.01429248392486382,0.465436750600452,0.04636568079426297,452.17349363425745,7.981851786801814,553.330508375587,95.25675560672099,2461.12265625,2.032431461356344,474.79088764190675,0.000290799053944619,0.5018146169468002,2
